序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
0,11,23.251704,111.571831,271.8,75.5,2.0,0.0
1,1864,23.249702,111.570304,310.4,86.2,4.0,0.0
2,1693,23.247712,111.568173,290.0,80.6,5.0,0.0
3,1316,23.24612,111.565925,187.3,23.7,33.0,0.7
4,1617,23.245499,111.564221,266.7,74.1,10.0,0.0
5,1553,23.244447,111.561875,205.9,32.7,32.0,0.672
6,1399,23.243821,111.559978,258.0,31.8,4.0,0.485
7,3610,23.242703,111.557766,183.9,28.2,22.0,0.653
8,1698,23.242343,111.55601,207.6,33.8,32.0,0.701
9,1590,23.241795,111.554067,265.9,26.8,3.0,0.719
10,2791,23.240689,111.55176,188.1,30.9,21.0,0.689
11,1600,23.240507,111.54993,177.9,32.2,33.0,0.73
12,963,23.240352,111.548196,358.6,45.3,1.0,0.52
13,3315,23.238105,111.545679,259.4,158.0,3.0,0.405
14,5671,23.236604,111.543735,191.5,22.0,7.0,0.405
15,3413,23.236283,111.541894,294.9,52.0,3.0,0.405
16,5849,23.234602,111.539661,315.5,87.6,1.0,0.0
17,9062,23.232526,111.537558,315.5,67.0,0.0,0.405
18,11435,23.230379,111.535538,324.9,23.0,0.0,0.405
19,9079,23.228167,111.533461,207.2,90.5,2.0,0.325
20,10751,23.226316,111.533695,232.3,73.0,1.0,0.405
21,10752,23.224236,111.533485,798.4,30.0,1.0,0.405
22,5642,23.217273,111.535393,302.2,30.0,2.0,0.467
23,3330,23.215381,111.537515,295.4,82.5,4.0,0.409
24,1900,23.213805,111.539842,671.2,186.4,1.0,0.0
25,4571,23.211423,111.545877,259.2,61.0,5.0,0.405
26,3495,23.210033,111.547913,196.3,200.0,6.0,0.434
27,4903,23.209536,111.549756,279.7,68.0,2.0,0.405
28,3579,23.207986,111.551911,199.7,55.5,6.0,0.0
29,4911,23.2075,111.553791,269.8,74.9,1.0,0.0
30,3831,23.206068,111.555923,202.1,56.1,6.0,0.0
31,4651,23.205502,111.557802,268.7,74.6,3.0,0.0
32,3912,23.204081,111.559929,200.9,55.8,5.0,0.0
33,5205,23.203471,111.56178,272.5,75.7,2.0,0.0
34,4168,23.201958,111.563877,182.2,50.6,5.0,0.0
35,6056,23.201375,111.565544,301.3,83.7,1.0,0.0
36,4343,23.199811,111.56795,290.2,80.6,2.0,0.0
37,3885,23.19796,111.569952,464.9,129.1,1.0,0.0
38,3949,23.195777,111.573831,196.7,179.0,6.0,0.405
39,6519,23.195463,111.575725,441.7,261.5,1.0,0.289
40,7000,23.193468,111.579463,271.0,70.0,3.0,0.412
41,11486,23.193685,111.582104,651.8,234.0,2.0,0.352
42,5655,23.191243,111.587901,440.7,29.0,1.0,0.405
43,6217,23.191215,111.592213,396.4,240.0,1.0,0.405
44,4909,23.191309,111.59609,207.6,65.5,16.0,0.603
45,3499,23.191353,111.598121,403.7,75.0,2.0,0.339
46,2132,23.191537,111.602066,401.4,30.0,1.0,0.405
47,2021,23.191967,111.605965,406.2,112.8,1.0,0.0
48,2166,23.19212,111.609936,207.5,39.5,39.0,0.622
49,2304,23.192147,111.611966,206.5,44.5,36.0,0.702
50,2341,23.192125,111.613987,281.2,45.5,1.0,0.399
51,7748,23.190764,111.616306,192.7,75.5,4.0,0.476
52,5965,23.190516,111.618172,933.4,259.3,1.0,0.0
53,10926,23.186627,111.626266,1220.0,338.9,1.0,0.0
54,3072,23.18022,111.635955,327.1,64.2,5.0,0.404
55,4177,23.178417,111.638483,297.2,144.4,8.0,0.525
56,3675,23.176444,111.640444,145.8,33.1,20.0,0.63
57,3229,23.175842,111.641712,315.3,120.0,2.0,0.405
58,3203,23.173912,111.643973,297.9,82.7,3.0,0.0
59,3119,23.172064,111.646082,300.3,83.4,2.0,0.0
60,3049,23.169986,111.647959,172.1,30.0,5.0,0.405
61,6307,23.169316,111.649477,286.7,79.6,2.0,0.0
62,6538,23.167482,111.651449,436.8,121.3,1.0,0.0
63,11616,23.165673,111.655242,263.0,45.0,1.0,0.396
64,11585,23.166046,111.657782,441.4,255.0,0.0,0.304
