序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
0,11,23.251704,111.571831,133.9,29.5,8.0,0.463
1,4949,23.251679,111.57052,319.4,29.5,4.0,0.539
2,6018,23.249602,111.568362,320.4,46.0,4.0,0.498
3,4752,23.247383,111.56636,230.2,36.2,4.0,0.517
4,11419,23.247548,111.564114,304.1,50.0,1.0,0.458
5,4845,23.245398,111.562274,208.3,30.2,5.0,0.568
6,1658,23.245207,111.560246,307.4,70.0,1.0,0.362
7,540,23.244647,111.557299,191.4,27.0,9.0,0.514
8,6362,23.243151,111.556372,279.6,61.7,2.0,0.432
9,1590,23.241795,111.554067,171.9,22.0,1.0,0.405
10,6712,23.240268,111.5538,213.6,18.0,4.0,0.405
11,2791,23.240689,111.55176,197.9,55.0,1.0,0.0
12,10001,23.238931,111.55146,175.3,48.7,1.0,0.0
13,5864,23.238716,111.54976,199.7,55.5,3.0,0.0
14,4400,23.238383,111.54784,222.9,26.5,7.0,0.56
15,3315,23.238105,111.545679,175.9,38.8,19.0,0.543
16,2098,23.238327,111.543974,201.2,33.0,30.0,0.725
17,2217,23.237884,111.542064,288.4,29.7,6.0,0.648
18,2297,23.236239,111.539883,191.5,32.8,29.0,0.695
19,2639,23.235698,111.538103,172.2,29.8,13.0,0.691
20,5384,23.235364,111.536458,145.4,25.1,10.0,0.698
21,2423,23.234121,111.536013,319.7,31.0,4.0,0.405
22,2622,23.231984,111.533919,191.8,30.8,9.0,0.542
23,4166,23.230271,111.5337,235.2,30.0,4.0,0.467
24,9079,23.228167,111.533461,178.8,49.7,2.0,0.0
25,3009,23.228194,111.531711,244.4,45.2,10.0,0.489
26,4285,23.226004,111.531507,282.0,60.0,1.0,0.405
27,10752,23.224236,111.533485,521.0,30.0,1.0,0.405
28,4884,23.219554,111.533307,187.9,43.1,14.0,0.593
29,1576,23.218006,111.534047,159.9,37.4,11.0,0.601
30,5642,23.217273,111.535393,145.1,37.1,11.0,0.604
31,1473,23.216094,111.536001,169.3,36.2,10.0,0.589
32,7020,23.214698,111.536664,171.5,27.9,10.0,0.604
33,2270,23.214338,111.538295,168.8,33.9,31.0,0.754
34,1900,23.213805,111.539842,143.4,30.5,19.0,0.735
35,4059,23.212692,111.540551,174.1,42.4,24.0,0.669
36,2013,23.212015,111.542087,178.7,30.4,19.0,0.569
37,2893,23.211852,111.543826,165.9,33.8,12.0,0.506
38,2956,23.210409,111.544238,184.4,37.2,30.0,0.706
39,2318,23.209785,111.54591,135.2,35.3,20.0,0.725
40,5339,23.208744,111.546594,170.4,31.7,20.0,0.735
41,2507,23.208072,111.548093,284.0,40.0,10.0,0.503
42,3620,23.206576,111.550345,189.4,35.4,27.0,0.728
43,2830,23.205783,111.551985,270.4,75.1,10.0,0.0
44,3144,23.204315,111.554094,191.3,28.6,27.0,0.745
45,2957,23.203682,111.555834,231.5,64.3,6.0,0.0
46,4340,23.204088,111.558056,331.8,50.0,2.0,0.405
47,3446,23.201547,111.559757,122.1,28.8,22.0,0.718
48,4090,23.200644,111.560437,175.2,31.2,27.0,0.737
49,2515,23.199899,111.561948,282.8,31.0,8.0,0.46
50,3496,23.198476,111.564242,196.3,32.3,28.0,0.739
51,2644,23.197719,111.565976,254.0,69.5,16.0,0.404
52,3053,23.196499,111.568078,218.5,32.6,29.0,0.747
53,2501,23.195671,111.570017,254.9,75.5,15.0,0.339
54,3332,23.194458,111.572133,204.3,38.1,28.0,0.723
55,2404,23.193754,111.57398,262.6,72.9,11.0,0.0
56,3644,23.192526,111.576175,205.6,37.5,23.0,0.684
57,2363,23.192008,111.578106,281.0,35.5,2.0,0.314
58,5755,23.190851,111.58055,154.4,39.0,13.0,0.621
59,3673,23.190547,111.582023,210.8,34.4,18.0,0.651
60,3136,23.190235,111.584057,207.1,37.0,21.0,0.605
61,2417,23.190184,111.586083,202.4,32.1,27.0,0.661
62,2251,23.190243,111.588062,194.9,36.4,30.0,0.655
63,2225,23.190252,111.589969,207.7,34.0,31.0,0.655
64,2226,23.190328,111.592,202.4,34.4,30.0,0.646
65,2461,23.190469,111.593974,196.9,31.2,26.0,0.646
66,2797,23.19057,111.595898,208.2,27.3,21.0,0.644
67,3464,23.190726,111.597928,190.2,33.0,14.0,0.527
68,4807,23.190829,111.599786,161.0,39.1,7.0,0.474
69,7747,23.190924,111.601357,293.1,81.4,2.0,0.0
70,1997,23.191785,111.604068,396.3,75.0,1.0,0.424
71,2055,23.192132,111.607927,205.3,43.5,40.0,0.733
72,2166,23.19212,111.609936,476.4,60.0,1.0,0.405
73,10921,23.190046,111.614014,428.2,149.0,2.0,0.405
74,5965,23.190516,111.618172,211.8,30.2,9.0,0.589
75,5112,23.190192,111.620214,207.3,42.2,9.0,0.514
76,4806,23.189833,111.622204,239.1,37.5,3.0,0.484
77,6010,23.188656,111.624162,185.3,65.0,5.0,0.446
78,4881,23.188143,111.625887,301.8,30.0,1.0,0.405
79,7250,23.186693,111.628383,352.9,60.0,1.0,0.405
80,10960,23.184521,111.630899,412.7,60.0,2.0,0.38
81,5124,23.182532,111.634308,189.0,30.0,10.0,0.629
82,2554,23.182032,111.636075,170.7,38.9,10.0,0.654
83,4838,23.181515,111.637648,173.2,23.4,12.0,0.664
84,2479,23.179982,111.637945,217.1,24.5,8.0,0.498
85,4226,23.179672,111.640042,207.0,32.5,7.0,0.449
86,2946,23.177826,111.639775,168.3,39.7,23.0,0.686
87,3675,23.176444,111.640444,456.0,90.0,2.0,0.396
88,9436,23.172832,111.642558,183.3,44.1,7.0,0.543
89,2652,23.172076,111.644152,299.1,30.0,13.0,0.405
90,2563,23.170017,111.646033,302.1,30.0,14.0,0.405
91,2400,23.168075,111.6481,179.9,53.8,17.0,0.423
92,2815,23.16782,111.649838,168.9,30.0,5.0,0.405
93,6538,23.167482,111.651449,326.5,30.0,1.0,0.405
94,5211,23.165395,111.653695,300.3,31.0,3.0,0.405
95,3085,23.16356,111.65585,269.5,74.9,5.0,0.0
96,2236,23.162095,111.657951,200.1,37.8,17.0,0.483
97,3128,23.161823,111.659885,203.6,42.0,12.0,0.513
98,4395,23.161412,111.661826,255.6,60.0,1.0,0.361
99,2985,23.160197,111.663949,170.0,29.3,6.0,0.507
100,4412,23.158698,111.664274,187.2,27.2,14.0,0.649
101,3173,23.158376,111.666071,207.3,37.1,19.0,0.609
102,3223,23.158046,111.668067,207.1,28.9,20.0,0.626
103,3014,23.157878,111.670084,202.1,38.5,17.0,0.55
104,2928,23.158316,111.672003,205.7,37.7,17.0,0.577
105,2989,23.158537,111.674,194.5,25.9,12.0,0.64
106,3711,23.158638,111.675899,192.5,25.7,9.0,0.491
107,5352,23.158827,111.677771,246.9,30.0,3.0,0.405
108,9464,23.158923,111.680184,212.8,19.3,0.0,0.429
109,1784,23.159908,111.681968,196.1,33.6,34.0,0.696
110,2082,23.159835,111.683884,211.7,29.1,30.0,0.684
111,2364,23.159775,111.685954,204.1,30.1,21.0,0.651
112,2906,23.159634,111.687944,208.0,20.7,13.0,0.406
113,3578,23.159808,111.68997,210.8,4.0,8.0,0.405
114,3806,23.160095,111.692008,241.4,26.0,1.0,0.405
115,2863,23.157925,111.69195,189.6,22.8,16.0,0.591
116,3567,23.15755,111.693759,291.0,60.0,1.0,0.405
117,2184,23.155995,111.696048,189.2,29.6,26.0,0.649
118,3171,23.155437,111.697796,251.9,30.0,7.0,0.51
119,3608,23.156244,111.700098,328.5,91.2,1.0,0.0
120,1954,23.153896,111.702049,254.9,22.5,2.0,0.358
121,7913,23.15282,111.70425,170.1,18.8,3.0,0.568
122,8329,23.152844,111.705913,222.8,21.8,1.0,0.465
123,11167,23.152795,111.708092,236.8,18.0,1.0,0.453
124,1167,23.153973,111.710021,202.3,33.0,46.0,0.75
125,1166,23.154058,111.711998,205.0,29.7,46.0,0.779
126,1179,23.154108,111.714002,201.6,32.1,45.0,0.743
127,1188,23.154057,111.715974,211.7,30.8,45.0,0.768
128,1070,23.153911,111.718038,273.8,33.8,4.0,0.503
129,6885,23.152798,111.720427,185.1,30.1,9.0,0.739
