序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
0,11,23.251704,111.571831,156.5,24.4,19.0,0.67
1,2151,23.250305,111.57166,201.3,21.4,4.0,0.525
2,5999,23.248499,111.571799,210.9,23.0,6.0,0.534
3,1942,23.248305,111.569746,173.6,27.4,21.0,0.678
4,1693,23.247712,111.568173,132.1,26.9,12.0,0.661
5,3268,23.246627,111.567647,184.7,28.0,18.0,0.623
6,1316,23.24612,111.565925,187.3,23.7,33.0,0.7
7,1617,23.245499,111.564221,104.5,32.1,15.0,0.679
8,4261,23.244841,111.563491,170.8,27.9,16.0,0.654
9,1553,23.244447,111.561875,205.9,32.7,32.0,0.672
10,1399,23.243821,111.559978,288.7,30.5,32.0,0.463
11,540,23.244647,111.557299,191.4,27.0,9.0,0.514
12,6362,23.243151,111.556372,471.2,60.0,1.0,0.405
13,8411,23.243004,111.551762,5.3,124.2,4.0,0.495
14,336,23.242957,111.551768,235.6,60.0,8.0,0.405
15,5254,23.241837,111.549811,201.3,60.0,1.0,0.405
16,4801,23.241031,111.548047,270.9,30.0,0.0,0.405
17,897,23.240443,111.545474,170.8,29.0,6.0,0.607
18,5246,23.23929,111.544369,114.4,38.7,6.0,0.659
19,2098,23.238327,111.543974,201.2,33.0,30.0,0.725
20,2217,23.237884,111.542064,196.8,35.2,18.0,0.483
21,241,23.23843,111.540232,373.6,90.0,1.0,0.405
22,2639,23.235698,111.538103,169.5,34.1,9.0,0.565
23,3367,23.234199,111.5378,182.8,56.1,13.0,0.56
24,2423,23.234121,111.536013,260.5,24.4,20.0,0.663
25,1993,23.234296,111.533471,261.1,25.0,18.0,0.484
26,2622,23.231984,111.533919,173.0,31.3,18.0,0.668
27,2846,23.231768,111.532242,164.3,20.2,4.0,0.612
28,9666,23.231462,111.530669,189.3,29.3,4.0,0.619
29,3574,23.229786,111.530352,219.2,28.3,18.0,0.683
30,2040,23.227838,111.53002,207.7,25.4,25.0,0.562
31,1878,23.225983,111.529788,219.5,33.5,25.0,0.585
32,1776,23.224013,111.529921,218.3,27.7,25.0,0.62
33,2094,23.222063,111.530176,194.4,31.9,14.0,0.626
34,4494,23.220349,111.530552,158.2,33.7,13.0,0.634
35,1769,23.219952,111.532038,176.4,29.9,18.0,0.632
36,3542,23.218413,111.532453,285.0,25.8,3.0,0.517
37,4308,23.216589,111.534413,171.4,25.5,17.0,0.674
38,1473,23.216094,111.536001,173.8,51.5,23.0,0.603
39,3330,23.215381,111.537515,140.7,36.7,20.0,0.657
40,2270,23.214338,111.538295,168.8,33.9,31.0,0.754
41,1900,23.213805,111.539842,303.7,84.4,9.0,0.0
42,2013,23.212015,111.542087,143.8,26.2,6.0,0.735
43,9798,23.210853,111.542705,164.3,37.5,6.0,0.694
44,2956,23.210409,111.544238,184.4,37.2,30.0,0.706
45,2318,23.209785,111.54591,293.3,81.5,7.0,0.0
46,2507,23.208072,111.548093,175.7,40.8,21.0,0.688
47,3194,23.207952,111.549807,162.6,33.0,17.0,0.703
48,3620,23.206576,111.550345,189.4,35.4,27.0,0.728
49,2830,23.205783,111.551985,122.9,36.8,10.0,0.697
50,8194,23.204891,111.552695,156.7,29.9,10.0,0.727
51,3144,23.204315,111.554094,191.3,28.6,27.0,0.745
52,2957,23.203682,111.555834,132.9,40.3,19.0,0.702
53,5225,23.202772,111.556677,167.5,41.5,20.0,0.728
54,2958,23.202073,111.558128,284.5,62.0,5.0,0.405
55,4090,23.200644,111.560437,175.2,31.2,27.0,0.737
56,2515,23.199899,111.561948,176.6,33.9,22.0,0.739
57,3927,23.199604,111.563646,139.5,35.4,20.0,0.684
58,3496,23.198476,111.564242,196.3,32.3,28.0,0.739
59,2644,23.197719,111.565976,111.7,33.8,7.0,0.723
60,9741,23.196918,111.566636,154.5,36.3,7.0,0.687
61,3053,23.196499,111.568078,218.5,32.6,29.0,0.747
62,2501,23.195671,111.570017,126.3,34.3,8.0,0.711
63,9694,23.194805,111.570817,139.9,41.2,8.0,0.698
64,3332,23.194458,111.572133,204.3,38.1,28.0,0.723
65,2404,23.193754,111.57398,130.6,41.4,8.0,0.696
66,9695,23.192931,111.574891,138.7,42.9,8.0,0.672
67,3644,23.192526,111.576175,205.6,37.5,23.0,0.684
68,2363,23.192008,111.578106,181.1,40.5,30.0,0.697
69,2362,23.191853,111.579869,208.2,38.9,21.0,0.608
70,3109,23.191681,111.581898,196.5,54.4,22.0,0.616
71,3404,23.1913,111.583775,204.9,79.5,17.0,0.558
72,4816,23.191179,111.585776,217.3,46.1,10.0,0.612
73,5655,23.191243,111.587901,218.8,37.4,9.0,0.618
74,6197,23.191208,111.590041,222.0,41.8,10.0,0.573
75,6217,23.191215,111.592213,200.4,76.6,11.0,0.503
76,5978,23.191257,111.594173,403.7,119.5,2.0,0.412
77,3499,23.191353,111.598121,204.3,41.7,23.0,0.629
78,2890,23.191387,111.600119,199.7,47.7,30.0,0.6
79,2132,23.191537,111.602066,206.5,42.6,39.0,0.701
80,1997,23.191785,111.604068,194.9,51.2,41.0,0.611
81,2021,23.191967,111.605965,279.9,30.0,0.0,0.405
82,9742,23.193138,111.608389,153.9,15.0,1.0,0.405
83,7678,23.193356,111.609876,228.2,30.0,1.0,0.405
84,7030,23.193618,111.61209,203.5,10.0,2.0,0.405
85,6400,23.193721,111.614078,184.6,51.3,2.0,0.0
86,7282,23.193838,111.61588,231.5,64.3,2.0,0.0
87,6992,23.193727,111.618141,186.0,51.7,2.0,0.0
88,8179,23.193632,111.619958,193.3,13.0,0.0,0.405
89,3164,23.191895,111.620054,196.1,36.4,27.0,0.682
90,3095,23.191658,111.621955,207.7,26.9,16.0,0.627
91,4005,23.19162,111.623987,187.5,29.1,10.0,0.542
92,5194,23.191396,111.625805,262.3,27.0,3.0,0.443
93,3558,23.189825,111.62772,312.6,30.0,3.0,0.405
94,3299,23.188086,111.630124,176.3,33.2,14.0,0.638
95,4345,23.187736,111.631806,292.9,32.4,5.0,0.494
96,4060,23.185599,111.633481,264.4,12.0,1.0,0.405
97,5634,23.186107,111.636008,310.5,29.0,1.0,0.405
98,5798,23.184073,111.638089,288.0,17.0,2.0,0.405
99,4838,23.181515,111.637648,173.2,23.4,12.0,0.664
100,2479,23.179982,111.637945,182.5,37.6,18.0,0.701
101,4177,23.178417,111.638483,147.4,31.6,15.0,0.676
102,2946,23.177826,111.639775,296.5,82.4,2.0,0.0
103,3229,23.175842,111.641712,184.5,37.2,21.0,0.734
104,3159,23.174299,111.642374,169.0,24.3,16.0,0.629
105,3203,23.173912,111.643973,205.0,40.5,16.0,0.591
106,2652,23.172076,111.644152,168.7,28.5,6.0,0.739
107,9203,23.170655,111.644729,286.9,30.0,1.0,0.467
108,8084,23.168793,111.646671,166.5,49.3,8.0,0.63
109,2400,23.168075,111.6481,162.3,28.9,6.0,0.678
110,9722,23.166783,111.648838,150.8,34.8,6.0,0.668
111,2577,23.166295,111.650215,174.9,62.8,26.0,0.607
112,2167,23.16582,111.651845,152.1,35.6,18.0,0.638
113,3509,23.164546,111.652384,176.5,29.3,23.0,0.723
114,2030,23.164018,111.654013,148.4,29.7,11.0,0.698
115,6380,23.162814,111.65464,163.0,34.3,11.0,0.648
116,3158,23.162327,111.656144,301.4,30.0,2.0,0.405
117,5799,23.160752,111.658544,164.7,25.2,13.0,0.716
118,3278,23.160328,111.660087,217.0,42.2,22.0,0.638
119,2521,23.15976,111.662117,193.4,28.5,22.0,0.561
120,2985,23.160197,111.663949,116.0,30.4,4.0,0.5
121,7138,23.161237,111.663847,256.8,31.0,2.0,0.405
122,3146,23.160044,111.665998,208.2,37.9,17.0,0.555
123,3199,23.159684,111.667997,202.8,54.2,15.0,0.442
124,3494,23.159432,111.669961,214.1,45.4,15.0,0.583
125,3570,23.159261,111.672047,212.1,59.8,18.0,0.579
126,3520,23.159371,111.674118,411.1,41.5,2.0,0.372
127,2128,23.159586,111.678132,189.9,38.8,36.0,0.733
128,1766,23.159755,111.67998,204.0,35.8,36.0,0.664
129,1784,23.159908,111.681968,196.1,33.6,34.0,0.696
130,2082,23.159835,111.683884,272.5,45.0,2.0,0.444
131,5625,23.158703,111.686249,468.2,29.0,1.0,0.405
132,8702,23.156493,111.690147,236.3,49.7,6.0,0.582
133,5862,23.156647,111.692452,188.0,54.8,16.0,0.594
134,3359,23.156389,111.69427,263.4,35.5,2.0,0.474
135,11639,23.154904,111.696276,218.1,57.5,3.0,0.467
136,3881,23.154778,111.698406,96.2,18.3,9.0,0.416
137,3171,23.155437,111.697796,251.9,30.0,7.0,0.51
138,3608,23.156244,111.700098,192.7,60.0,12.0,0.44
139,3538,23.155612,111.701854,193.6,58.3,10.0,0.471
140,5858,23.155312,111.703719,198.2,30.2,5.0,0.57
141,9668,23.15545,111.705651,298.0,50.0,4.0,0.406
142,1219,23.153912,111.708038,202.8,29.4,45.0,0.771
143,1167,23.153973,111.710021,202.3,33.0,46.0,0.75
144,1166,23.154058,111.711998,205.0,29.7,46.0,0.779
145,1179,23.154108,111.714002,201.6,32.1,45.0,0.743
146,1188,23.154057,111.715974,211.7,30.8,45.0,0.768
147,1070,23.153911,111.718038,197.5,27.2,42.0,0.75
148,1192,23.153826,111.719967,198.7,16.0,31.0,0.321
149,1668,23.154015,111.7219,286.8,79.7,3.0,0.0
150,2161,23.152396,111.724084,209.8,30.3,35.0,0.776
151,1953,23.151846,111.726047,141.4,31.3,7.0,0.742
152,10034,23.150821,111.726865,160.3,28.5,7.0,0.764
153,3939,23.150651,111.728422,170.5,28.3,29.0,0.771
154,2042,23.150215,111.73002,213.3,26.4,33.0,0.797
155,2143,23.149514,111.731963,99.8,31.2,14.0,0.772
156,5583,23.148759,111.73249,168.1,29.7,16.0,0.754
157,2172,23.14836,111.734075,211.4,35.9,34.0,0.712
158,2107,23.147584,111.735963,247.1,30.0,12.0,0.405
159,2845,23.148486,111.738172,240.1,21.0,9.0,0.405
160,1984,23.146329,111.738062,210.3,26.3,34.0,0.793
161,2285,23.145549,111.739935,106.6,28.3,16.0,0.796
162,5170,23.144709,111.740439,176.5,29.9,18.0,0.788
163,2073,23.144248,111.742091,197.6,29.6,35.0,0.809
164,2440,23.143469,111.743829,106.0,30.9,23.0,0.774
165,4719,23.142769,111.744532,169.2,29.7,24.0,0.768
166,2059,23.14217,111.746054,204.2,28.2,33.0,0.783
167,2029,23.141596,111.747951,112.6,27.8,19.0,0.795
168,4287,23.140695,111.748452,170.2,28.6,22.0,0.797
169,2016,23.140208,111.750031,203.1,26.8,33.0,0.795
170,1813,23.139649,111.751922,118.1,25.9,17.0,0.784
171,4762,23.138799,111.752613,165.2,28.4,20.0,0.76
172,2369,23.13834,111.75415,194.5,28.1,35.0,0.768
173,1899,23.137824,111.755967,132.0,24.3,4.0,0.68
174,10498,23.13682,111.756656,162.1,27.8,4.0,0.631
175,3847,23.136687,111.758235,192.9,29.5,21.0,0.781
176,2415,23.136464,111.760107,200.7,29.2,34.0,0.781
177,1727,23.136172,111.762044,206.4,29.4,37.0,0.755
178,1689,23.135834,111.764029,193.9,30.4,33.0,0.712
179,1778,23.135682,111.765918,213.9,29.8,27.0,0.685
180,2002,23.135607,111.768008,211.6,26.8,24.0,0.552
181,2053,23.135956,111.770042,197.6,28.0,19.0,0.492
182,2152,23.135878,111.771972,255.5,31.5,2.0,0.463
183,1850,23.134474,111.773951,202.3,28.7,37.0,0.798
184,1815,23.134322,111.775922,213.3,27.9,38.0,0.795
185,1808,23.134165,111.778001,200.9,27.1,39.0,0.778
186,1894,23.134074,111.779964,209.1,26.4,39.0,0.804
187,1817,23.133991,111.782006,206.8,27.3,40.0,0.797
188,1749,23.13395,111.784028,203.0,29.1,41.0,0.788
189,1702,23.133831,111.78601,209.1,27.5,40.0,0.802
190,1730,23.133686,111.788049,199.2,25.6,40.0,0.785
191,1895,23.133621,111.789996,199.0,26.6,40.0,0.808
192,1839,23.133554,111.79194,127.5,35.4,1.0,0.0
193,8839,23.132409,111.791889,225.3,30.0,2.0,0.405
194,7804,23.132706,111.794068,220.2,19.5,2.0,0.352
195,8100,23.132705,111.796222,196.0,25.3,3.0,0.562
196,5935,23.132926,111.798124,204.0,30.0,6.0,0.583
197,5606,23.13288,111.800118,194.3,28.7,6.0,0.632
198,5469,23.13285,111.802017,203.4,26.6,5.0,0.582
199,5936,23.132892,111.804006,187.5,22.1,4.0,0.622
200,7231,23.132949,111.805839,186.8,29.0,2.0,0.405
201,10957,23.132862,111.807663,75.3,23.5,1.0,0.733
202,1566,23.133457,111.808014,205.6,28.2,40.0,0.777
203,1385,23.133508,111.810024,206.8,26.5,41.0,0.805
204,1347,23.13365,111.812041,199.3,26.5,42.0,0.797
205,1203,23.133829,111.81398,205.9,29.3,41.0,0.781
206,1508,23.134015,111.815984,210.3,25.7,39.0,0.798
207,1690,23.134232,111.818027,199.3,26.4,38.0,0.781
208,1852,23.134457,111.819961,210.5,25.8,37.0,0.778
209,1851,23.134696,111.822003,181.3,25.0,33.0,0.779
210,2684,23.134869,111.823767,120.6,29.7,17.0,0.507
211,1502,23.135899,111.824138,196.4,30.0,34.0,0.405
212,942,23.135819,111.826057,195.1,40.3,45.0,0.444
213,941,23.135684,111.82796,201.4,25.8,46.0,0.795
214,1015,23.135788,111.829927,210.1,27.9,43.0,0.794
215,1174,23.135991,111.831969,207.6,28.5,41.0,0.731
216,1479,23.136294,111.833973,197.4,29.4,38.0,0.784
217,1806,23.136526,111.835887,199.2,33.2,24.0,0.685
218,3181,23.136645,111.83783,254.5,27.5,6.0,0.513
219,1098,23.137738,111.840017,177.5,30.0,2.0,0.405
220,4918,23.139319,111.840253,187.7,30.0,7.0,0.405
221,3368,23.139551,111.842071,208.4,104.5,12.0,0.315
222,2017,23.139683,111.844104,198.0,27.8,25.0,0.601
223,1086,23.139665,111.84604,200.0,29.9,44.0,0.773
224,1141,23.140165,111.847919,193.7,26.4,37.0,0.765
225,2125,23.140616,111.849749,174.6,30.2,13.0,0.711
226,5715,23.140764,111.851449,204.2,31.2,3.0,0.512
227,11695,23.140864,111.853444,298.7,40.0,1.0,0.445
228,1833,23.142306,111.855909,215.4,28.6,35.0,0.782
229,2104,23.142459,111.858009,202.9,29.5,33.0,0.725
230,2382,23.142439,111.859994,209.2,28.6,31.0,0.766
231,2444,23.142289,111.862033,228.8,41.1,33.0,0.71
232,1339,23.141901,111.864231,164.6,36.7,32.0,0.724
233,1076,23.141744,111.865832,198.4,19.2,20.0,0.591
234,3479,23.141598,111.867766,214.0,24.4,8.0,0.519
235,5344,23.141641,111.869858,181.5,21.6,7.0,0.518
236,2229,23.140023,111.870092,173.0,29.6,29.0,0.706
237,3100,23.139467,111.871672,246.6,28.0,4.0,0.405
238,5166,23.14029,111.873911,251.0,20.5,4.0,0.389
239,1842,23.138034,111.874006,150.3,32.2,2.0,0.674
240,11682,23.136838,111.87469,177.2,27.0,2.0,0.613
241,3378,23.136626,111.876407,177.1,34.0,32.0,0.749
242,1985,23.135969,111.877985,147.4,30.2,4.0,0.712
243,9323,23.134788,111.878639,174.7,26.4,4.0,0.649
244,3294,23.134619,111.880339,189.7,35.1,31.0,0.708
245,2130,23.133982,111.882059,199.2,28.9,31.0,0.726
246,2319,23.133701,111.883983,254.7,45.0,10.0,0.396
247,2376,23.132366,111.886006,213.5,28.4,32.0,0.75
248,2122,23.131778,111.887994,263.9,27.7,2.0,0.625
249,4049,23.130661,111.890271,190.8,28.3,19.0,0.72
250,2673,23.130433,111.89212,196.8,28.6,29.0,0.745
251,2372,23.130081,111.894007,273.2,22.2,2.0,0.504
252,6561,23.128861,111.896325,174.1,27.2,5.0,0.545
253,5589,23.128619,111.898007,210.1,24.9,6.0,0.608
254,4452,23.128557,111.900061,212.8,33.0,13.0,0.716
255,3219,23.12862,111.902141,191.2,31.7,22.0,0.697
256,3176,23.128444,111.904001,206.5,29.3,24.0,0.735
257,2760,23.128382,111.906019,190.8,10.0,0.0,0.405
258,2452,23.130096,111.905949,214.1,51.7,18.0,0.455
259,2570,23.129948,111.908036,616.0,72.0,1.0,0.405
260,2739,23.129955,111.91406,201.0,90.0,18.0,0.422
261,2476,23.129909,111.916025,202.7,30.0,18.0,0.405
262,2453,23.12997,111.918006,406.4,90.0,1.0,0.405
263,2276,23.129782,111.921975,115.6,32.1,2.0,0.0
264,3904,23.128743,111.922012,177.2,29.4,9.0,0.705
265,5463,23.128736,111.923745,207.8,30.3,4.0,0.498
266,7639,23.128736,111.925777,214.2,42.0,3.0,0.406
