序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
0,0,23.044299,113.211749,272.6,35.5,2.0,0.314
1,570,23.043563,113.214291,170.0,24.4,53.0,0.775
2,244,23.042088,113.21385,191.1,39.7,56.0,0.703
3,817,23.042272,113.215707,223.9,38.7,39.0,0.773
4,2114,23.0425,113.217881,187.8,45.5,19.0,0.684
5,4755,23.042604,113.219713,311.0,86.4,3.0,0.0
6,324,23.044427,113.222017,236.9,65.8,4.0,0.0
7,822,23.045134,113.224201,186.9,9.0,59.0,0.405
8,261,23.045262,113.226023,204.0,37.7,96.0,0.679
9,203,23.045531,113.227996,207.8,36.2,110.0,0.778
10,178,23.045804,113.230004,208.0,31.7,118.0,0.802
11,204,23.046008,113.232025,201.1,30.8,119.0,0.818
12,175,23.046175,113.233982,201.0,55.8,1.0,0.0
13,5894,23.044368,113.234018,292.6,25.0,1.0,0.405
14,183,23.046245,113.236022,201.1,33.9,121.0,0.787
15,211,23.046217,113.237987,207.0,29.3,114.0,0.827
16,193,23.046006,113.239997,220.8,26.3,108.0,0.828
17,29,23.045077,113.241904,144.4,30.8,99.0,0.672
18,19,23.045063,113.243315,314.9,21.5,71.0,0.465
19,544,23.046469,113.245986,256.6,21.5,13.0,0.445
20,182,23.047736,113.248082,254.6,28.7,118.0,0.805
21,62,23.048749,113.250313,155.7,24.6,74.0,0.758
22,446,23.048577,113.251824,435.8,121.1,1.0,0.0
23,12021,23.048494,113.256082,722.4,124.0,1.0,0.369
24,5100,23.05275,113.261417,315.3,45.0,6.0,0.396
25,149,23.054352,113.263959,169.4,31.3,97.0,0.838
26,539,23.05469,113.265574,201.7,40.1,21.0,0.656
27,4939,23.054806,113.267541,225.2,56.6,3.0,0.509
28,9595,23.054869,113.269741,287.9,44.9,0.0,0.527
29,287,23.056532,113.271898,197.0,47.0,74.0,0.649
30,815,23.056663,113.273818,202.0,32.0,49.0,0.744
31,1688,23.056707,113.275792,223.8,42.6,39.0,0.684
32,2370,23.05671,113.27798,204.4,38.4,38.0,0.722
33,2246,23.056634,113.279976,224.3,37.2,41.0,0.721
34,1510,23.056663,113.282168,520.4,72.0,1.0,0.405
35,9585,23.054703,113.286787,143.4,38.8,7.0,0.675
36,6123,23.054806,113.288184,209.5,39.2,15.0,0.713
37,1773,23.054766,113.290231,196.9,56.6,57.0,0.618
38,876,23.054418,113.292119,203.0,32.9,70.0,0.826
