序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
0,0,23.044299,113.211749,272.6,35.5,2.0,0.314
1,570,23.043563,113.214291,185.1,29.2,45.0,0.581
2,214,23.044021,113.216029,201.9,17.9,72.0,0.707
3,257,23.044257,113.217985,199.5,32.1,79.0,0.71
4,292,23.044108,113.219928,216.7,39.0,87.0,0.74
5,324,23.044427,113.222017,194.6,33.6,89.0,0.851
6,492,23.044766,113.223884,52.3,24.0,25.0,0.804
7,822,23.045134,113.224201,385.0,29.0,1.0,0.405
8,9084,23.042106,113.226024,187.1,77.3,5.0,0.465
9,9679,23.042376,113.22783,226.5,67.0,3.0,0.48
10,9675,23.042853,113.229982,446.1,56.0,1.0,0.405
11,5894,23.044368,113.234018,215.4,86.3,8.0,0.518
12,5796,23.044509,113.236118,269.6,30.0,2.0,0.405
13,211,23.046217,113.237987,207.0,29.3,114.0,0.827
14,193,23.046006,113.239997,220.8,26.3,108.0,0.828
15,29,23.045077,113.241904,144.4,30.8,99.0,0.672
16,19,23.045063,113.243315,257.0,27.9,13.0,0.775
17,1109,23.047248,113.244135,206.4,35.2,46.0,0.622
18,511,23.047408,113.246145,338.7,45.0,2.0,0.396
19,12001,23.049439,113.248612,185.6,30.5,2.0,0.541
20,61,23.049213,113.250409,194.1,30.2,28.0,0.793
21,250,23.049372,113.252298,193.8,27.2,125.0,0.887
22,120,23.050186,113.253973,161.3,29.1,85.0,0.683
23,921,23.050753,113.255425,110.2,26.2,76.0,0.857
24,210,23.051407,113.256233,197.4,27.8,122.0,0.862
25,124,23.052166,113.257978,182.4,36.1,114.0,0.735
26,521,23.052727,113.259653,180.5,36.3,17.0,0.683
27,5100,23.05275,113.261417,131.6,35.0,12.0,0.794
28,105,23.053878,113.261806,226.6,32.0,121.0,0.831
29,149,23.054352,113.263959,169.4,31.3,97.0,0.838
30,539,23.05469,113.265574,205.8,32.9,66.0,0.616
31,54,23.05604,113.26695,95.5,34.8,91.0,0.482
32,113,23.055754,113.26783,184.0,27.3,102.0,0.825
33,103,23.056413,113.269479,247.9,26.0,101.0,0.835
34,287,23.056532,113.271898,90.8,25.5,20.0,0.776
35,2420,23.057169,113.272454,166.7,24.4,23.0,0.614
36,616,23.057312,113.274076,201.5,20.5,53.0,0.68
37,397,23.057528,113.276032,202.1,22.7,67.0,0.757
38,356,23.057619,113.278004,205.3,26.3,71.0,0.669
39,291,23.057649,113.280011,246.4,22.3,1.0,0.633
40,1510,23.056663,113.282168,196.9,32.9,58.0,0.834
41,847,23.056451,113.284079,209.4,26.5,71.0,0.822
