序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
0,6,23.107416,113.616438,132.4,72.8,2.0,0.547
1,1409,23.106359,113.615844,205.6,26.2,29.0,0.718
2,199,23.106706,113.613869,45519.6,12644.3,1.0,0.0
3,4119,22.703466,113.690471,101.2,71.5,1.0,0.344
4,717,22.702574,113.690277,310.8,218.0,1.0,0.405
5,9713,22.700375,113.692149,165.8,24.5,1.0,0.428
6,10804,22.699923,113.693689,316.7,88.0,1.0,0.0
7,10830,22.698093,113.696055,283.7,28.0,1.0,0.459
8,11595,22.696148,113.697845,199.8,23.7,2.0,0.441
9,11596,22.694399,113.698294,176.7,26.3,2.0,0.474
10,9513,22.693817,113.699897,185.8,30.0,3.0,0.51
11,11089,22.692304,113.700666,300.2,30.0,2.0,0.405
12,9213,22.69002,113.702225,286.0,45.0,2.0,0.396
13,9277,22.687871,113.703758,203.2,24.5,4.0,0.428
14,9294,22.686225,113.704617,314.0,23.0,4.0,0.437
15,9193,22.683782,113.706151,1072.1,297.8,1.0,0.0
16,11536,22.674141,113.706012,524.7,10.0,1.0,0.405
17,11513,22.669872,113.708189,471.4,10.0,1.0,0.405
18,10996,22.665972,113.70999,233.0,10.0,1.0,0.405
19,10959,22.663876,113.709978,225.5,10.0,1.0,0.405
20,10917,22.661914,113.709424,245.5,10.0,1.0,0.405
21,11485,22.659826,113.708645,215.1,10.0,1.0,0.405
22,10839,22.657998,113.707959,228.6,10.0,1.0,0.405
23,11454,22.656028,113.707322,242.5,9.0,1.0,0.405
24,11441,22.653916,113.706731,215.4,10.0,1.0,0.405
25,9854,22.652031,113.706247,257.9,10.0,1.0,0.405
26,8256,22.649768,113.705695,180.8,10.0,1.0,0.405
27,3417,22.648241,113.705091,168.0,10.0,2.0,0.405
28,2393,22.647047,113.704089,101.3,15.0,2.0,0.396
29,5988,22.646136,113.704055,222.9,20.0,1.0,0.405
30,11438,22.644184,113.703559,474.3,10.0,1.0,0.405
31,11416,22.640003,113.702648,217.5,9.0,1.0,0.405
32,11421,22.638059,113.702413,243.9,10.0,1.0,0.405
33,11402,22.635869,113.702285,438.2,9.0,1.0,0.405
34,10464,22.631931,113.702136,206.0,21.0,1.0,0.405
35,10530,22.63008,113.702038,250.3,10.0,1.0,0.405
36,8973,22.62783,113.70198,210.4,10.0,2.0,0.405
37,8277,22.625938,113.701974,229.0,9.0,2.0,0.405
38,6709,22.623882,113.702095,202.2,9.0,2.0,0.405
39,7407,22.622085,113.702401,214.1,59.5,1.0,0.0
40,8451,22.620179,113.702697,278.6,77.4,1.0,0.0
41,8471,22.618002,113.701354,233.5,18.0,4.0,0.458
42,8463,22.615928,113.701706,227.2,27.0,5.0,0.471
