序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
0,6,23.107416,113.616438,319.6,22.0,9.0,0.405
1,98,23.107324,113.613315,152.4,92.5,16.0,0.509
2,45,23.107518,113.61184,44388.9,12330.2,1.0,0.0
3,166,22.715846,113.695605,150.9,41.9,2.0,0.0
4,454,22.716581,113.694367,314.3,87.3,1.0,0.0
5,247,22.713757,113.694227,189.2,10.0,1.0,0.467
6,47,22.712083,113.694555,227.2,30.0,1.0,0.405
7,7218,22.710213,113.693661,233.0,8.0,1.0,0.405
8,8679,22.708126,113.693865,253.6,35.0,2.0,0.309
9,6116,22.705852,113.694049,294.3,81.8,1.0,0.0
10,7414,22.703826,113.695895,214.3,67.0,2.0,0.405
11,6960,22.7019,113.695991,184.6,25.5,2.0,0.429
12,9712,22.700313,113.696518,153.1,15.0,1.0,0.41
13,7151,22.699828,113.697915,182.5,19.5,2.0,0.352
14,8620,22.698226,113.698299,153.6,20.0,1.0,0.405
15,7480,22.698274,113.699795,220.5,15.5,3.0,0.391
16,7263,22.696351,113.700317,156.7,22.0,2.0,0.457
17,8087,22.695932,113.701775,212.4,44.5,2.0,0.35
18,8081,22.69406,113.702185,235.2,10.0,1.0,0.405
19,10210,22.691945,113.702201,214.1,19.0,1.0,0.405
20,9213,22.69002,113.702225,173.0,11.0,1.0,0.405
21,9212,22.689935,113.703909,230.0,20.5,2.0,0.358
22,9277,22.687871,113.703758,242.1,10.0,1.0,0.405
23,9196,22.687997,113.706114,264.2,10.0,1.0,0.405
24,9202,22.685622,113.706197,222.3,13.0,1.0,0.405
25,10375,22.684142,113.707654,225.4,21.0,1.0,0.405
26,7667,22.682132,113.707939,203.2,25.5,4.0,0.483
27,10307,22.680359,113.708418,157.3,23.3,3.0,0.436
28,8598,22.679595,113.709708,177.4,22.5,4.0,0.48
29,8115,22.678089,113.710278,314.4,29.2,4.0,0.536
30,7326,22.67575,113.711999,183.4,20.2,4.0,0.494
31,10212,22.674174,113.712527,273.3,30.0,2.0,0.467
32,7516,22.672265,113.714206,226.6,33.3,3.0,0.393
33,11514,22.670245,113.714497,303.3,30.0,1.0,0.405
34,8539,22.668256,113.71652,297.0,30.0,1.0,0.405
35,7171,22.666089,113.718212,292.8,23.7,3.0,0.435
36,7803,22.663866,113.719741,203.3,22.5,4.0,0.48
37,8175,22.662177,113.7205,299.4,30.0,3.0,0.467
38,7622,22.659865,113.721995,191.7,25.2,3.0,0.508
39,10829,22.658228,113.722583,294.4,31.0,1.0,0.405
40,8489,22.656197,113.724422,270.5,23.0,3.0,0.437
41,7796,22.654194,113.725917,200.2,27.5,3.0,0.516
42,10807,22.652443,113.726373,163.5,20.0,2.0,0.435
43,7634,22.651852,113.727832,230.5,20.0,3.0,0.458
44,9068,22.649826,113.728307,263.3,26.7,3.0,0.478
45,9663,22.648049,113.730003,207.3,27.0,3.0,0.486
46,9919,22.646203,113.730288,301.2,15.5,2.0,0.337
47,9637,22.643993,113.731985,326.8,15.0,3.0,0.41
48,8272,22.642232,113.734535,221.7,26.7,3.0,0.481
49,10091,22.640262,113.734201,315.3,25.0,2.0,0.433
50,8398,22.638144,113.736243,306.2,21.5,2.0,0.402
51,7839,22.636059,113.738193,173.4,30.5,3.0,0.463
52,11383,22.634516,113.738432,325.1,58.0,1.0,0.405
53,10247,22.632167,113.740318,307.6,30.0,2.0,0.405
54,7582,22.630285,113.742515,119.1,32.2,5.0,0.462
55,7781,22.629732,113.743508,190.1,41.8,7.0,0.493
56,6304,22.628216,113.744365,183.9,30.0,3.0,0.424
57,10446,22.626564,113.744285,166.3,23.7,3.0,0.435
58,6145,22.625988,113.74578,219.1,23.8,5.0,0.547
59,8231,22.624132,113.746496,265.1,59.0,2.0,0.376
60,6459,22.622235,113.74806,318.8,30.0,1.0,0.405
61,6204,22.619921,113.749894,284.9,30.0,1.0,0.405
62,7838,22.617812,113.75147,190.7,23.7,6.0,0.546
63,6216,22.616217,113.752153,161.5,35.8,3.0,0.472
