序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
0,6,23.107416,113.616438,319.6,22.0,9.0,0.405
1,98,23.107324,113.613315,89.1,145.6,2.0,0.618
2,199,23.106706,113.613869,176.9,29.0,31.0,0.661
3,361,23.106738,113.61214,213.6,26.6,32.0,0.674
4,1387,23.106279,113.610112,209.8,26.7,31.0,0.677
5,1408,23.106119,113.608068,212.9,36.5,33.0,0.611
6,1383,23.105844,113.606007,185.7,30.0,4.0,0.467
7,6314,23.104192,113.605744,214.1,30.5,8.0,0.463
8,3137,23.104637,113.603708,290.3,30.0,2.0,0.405
9,8500,23.102757,113.601737,227.8,29.8,5.0,0.542
10,2647,23.102653,113.599513,176.9,49.1,34.0,0.616
11,1047,23.101889,113.597996,283.2,78.7,9.0,0.0
12,1556,23.10013,113.595993,169.4,32.3,22.0,0.638
13,3585,23.099447,113.594513,140.6,33.2,23.0,0.65
14,2075,23.098394,113.593751,171.5,42.6,32.0,0.593
15,2389,23.097522,113.592368,191.9,30.0,5.0,0.51
16,7204,23.097385,113.590498,172.6,40.3,3.0,0.444
17,1761,23.095898,113.590014,172.4,38.0,23.0,0.6
18,4364,23.09529,113.588463,304.6,30.0,10.0,0.405
19,1937,23.09361,113.586111,113.5,27.7,8.0,0.614
20,5665,23.092887,113.585327,161.1,21.3,8.0,0.475
21,2032,23.09239,113.583848,205.8,26.2,25.0,0.613
22,1620,23.091686,113.581986,114.0,24.0,2.0,0.473
23,9744,23.0908,113.581426,180.1,13.7,2.0,0.374
24,2051,23.090717,113.579668,184.6,35.5,23.0,0.55
25,850,23.090682,113.577863,298.9,21.0,0.0,0.421
26,5122,23.088763,113.575817,260.7,19.9,6.0,0.576
27,828,23.088827,113.57327,155.0,37.2,22.0,0.527
28,141,23.088512,113.571794,197.0,35.5,27.0,0.569
29,1863,23.087732,113.570064,208.1,41.2,25.0,0.607
30,2419,23.087384,113.568065,432.3,26.0,1.0,0.405
31,2117,23.086283,113.564012,281.7,22.3,26.0,0.421
32,157,23.086686,113.561294,113.6,31.2,26.0,0.615
33,686,23.086032,113.56044,234.8,36.4,22.0,0.611
34,1787,23.085617,113.55819,110.4,34.3,12.0,0.62
35,3444,23.084758,113.557649,178.7,38.6,18.0,0.543
36,2007,23.084417,113.555941,202.4,21.1,23.0,0.635
37,2052,23.083917,113.554039,197.0,35.5,19.0,0.585
38,2922,23.083425,113.552189,170.5,27.7,6.0,0.564
39,7953,23.083166,113.550546,121.3,22.0,6.0,0.545
40,2186,23.082289,113.549841,199.7,27.2,6.0,0.554
41,6623,23.080504,113.549624,303.1,25.0,1.0,0.424
42,7441,23.078407,113.547732,205.2,30.0,6.0,0.532
43,4545,23.078271,113.545732,261.0,31.2,7.0,0.53
44,7172,23.075924,113.545665,282.7,26.0,2.0,0.498
45,6240,23.074101,113.543739,305.9,36.0,6.0,0.514
